"#template"	"instance"	"endpoint"	"error"	"prevelance"
1	"a__birth_death"	"cs.dbpedia.org"	0	0
1	"b__release_dates"	"cs.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"cs.dbpedia.org"	0	0
2	"a__lon_lat_eq_point"	"cs.dbpedia.org"	194	194
3	"a__height_person"	"cs.dbpedia.org"	5	2275
3	"b__latitude_range"	"cs.dbpedia.org"	0	194
3	"c__longitude_range"	"cs.dbpedia.org"	0	194
4	"a__functional_release_date"	"cs.dbpedia.org"	0	14
4	"b__mt_20_labels"	"cs.dbpedia.org"	0	354998
5	"a__coord_no_place"	"cs.dbpedia.org"	9	194
5	"b__capital_but_not_place"	"cs.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"cs.dbpedia.org"	0	8478
6	"a__death_date_but_no_birth_date"	"cs.dbpedia.org"	0	0
6	"b__active_years_start_but_no_active_years_end"	"cs.dbpedia.org"	0	0
6	"c__dateOfBirth_but_no_birthDate"	"cs.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"cs.dbpedia.org"	0	31951
7	"b__african_capital_but_no_city"	"cs.dbpedia.org"	0	0
8	"a__spouse_person"	"cs.dbpedia.org"	920	1022
8	"b__birth_place_not_place"	"cs.dbpedia.org"	8196	13171
9	"a__person_wo_depiction"	"cs.dbpedia.org"	8478	8478
9	"b__person_wo_birthDate"	"cs.dbpedia.org"	8478	8478
9	"c__place_wo_coordinates"	"cs.dbpedia.org"	12033	12218
10	"a__georss_point_template"	"cs.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"cs.dbpedia.org"	0	0
11	"a__copy_paste"	"cs.dbpedia.org"	0	0
11	"b__inconsist_citations"	"cs.dbpedia.org"	0	0
11	"c__missing_files"	"cs.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"cs.dbpedia.org"	1371	2449
12	"b__yago_wrong_capital_letters"	"cs.dbpedia.org"	0	204843
12	"c__wrong_isbn"	"cs.dbpedia.org"	47	226
13	"a__shared_foaf_homepage"	"cs.dbpedia.org"	626	2509
1	"a__birth_death"	"dbpedia.org"	206	688113
1	"b__release_dates"	"dbpedia.org"	2	118
1	"c__buildingStart_demolition"	"dbpedia.org"	0	26
2	"a__lon_lat_eq_point"	"dbpedia.org"	0	902376
3	"a__height_person"	"dbpedia.org"	85	53718
3	"b__latitude_range"	"dbpedia.org"	0	758316
3	"c__longitude_range"	"dbpedia.org"	0	755523
4	"a__functional_release_date"	"dbpedia.org"	0	1503
4	"b__mt_20_labels"	"dbpedia.org"	5009	23891055
5	"a__coord_no_place"	"dbpedia.org"	261173	732224
5	"b__capital_but_not_place"	"dbpedia.org"	16	150
5	"c__foaf_but_not_dbo_person"	"dbpedia.org"	503340	1266984
6	"a__death_date_but_no_birth_date"	"dbpedia.org"	31159	453088
6	"b__active_years_start_but_no_active_years_end"	"dbpedia.org"	18419	123194
6	"c__dateOfBirth_but_no_birthDate"	"dbpedia.org"	228772	1117692
7	"a__foaf_name_but_not_thing"	"dbpedia.org"	540052	2267864
7	"b__african_capital_but_no_city"	"dbpedia.org"	45	64
8	"a__spouse_person"	"dbpedia.org"	6898	20124
8	"b__birth_place_not_place"	"dbpedia.org"	68671	768759
9	"a__person_wo_depiction"	"dbpedia.org"	604804	813091
9	"b__person_wo_birthDate"	"dbpedia.org"	392515	813091
9	"c__place_wo_coordinates"	"dbpedia.org"	114136	572728
10	"a__georss_point_template"	"dbpedia.org"	4414	12824
10	"b__birth_category_but_no_birth_date"	"dbpedia.org"	1056	4025
11	"a__copy_paste"	"dbpedia.org"	1791	0
11	"b__inconsist_citations"	"dbpedia.org"	0	0
11	"c__missing_files"	"dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"dbpedia.org"	63224	156190
12	"b__yago_wrong_capital_letters"	"dbpedia.org"	1	24424883
12	"c__wrong_isbn"	"dbpedia.org"	9602	21132
13	"a__shared_foaf_homepage"	"dbpedia.org"	0	505151
1	"a__birth_death"	"de.dbpedia.org"	3	167251
1	"b__release_dates"	"de.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"de.dbpedia.org"	0	0
3	"a__height_person"	"de.dbpedia.org"	1027	28451
3	"b__latitude_range"	"de.dbpedia.org"	0	209273
3	"c__longitude_range"	"de.dbpedia.org"	0	209273
4	"a__functional_release_date"	"de.dbpedia.org"	0	56
4	"b__mt_20_labels"	"de.dbpedia.org"	0	2536247
5	"a__coord_no_place"	"de.dbpedia.org"	13996	209268
5	"b__capital_but_not_place"	"de.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"de.dbpedia.org"	386909	431897
6	"a__death_date_but_no_birth_date"	"de.dbpedia.org"	19156	186378
6	"b__active_years_start_but_no_active_years_end"	"de.dbpedia.org"	614	614
6	"c__dateOfBirth_but_no_birthDate"	"de.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"de.dbpedia.org"	386485	588785
7	"b__african_capital_but_no_city"	"de.dbpedia.org"	0	0
